,Title,Category,Latitude,Longitude,geometry,county,subcounty,ward,centroid
1120,KILIMO AGROVET & STORES,Veterinary care,1.0943499,35.0760327,POINT (35.0760327 1.0943499),TRANS NZOIA,Kwanza  Sub County,Kwanza Ward,POINT (35.032082446073666 1.1364255518573085)
1121,Tulin Agrovet,Agrochemicals supplier,0.9819297,35.2203986,POINT (35.2203986 0.9819297),TRANS NZOIA,Cherangany Sub County,Motosiet Ward,POINT (35.17461702052381 0.9651776288198058)
1122,Kimaran Agrovet,Agrochemicals supplier,0.8904834,34.9261002,POINT (34.9261002 0.8904834),TRANS NZOIA,Kiminini  Sub County,Kiminini Ward,POINT (34.939944520288535 0.8923167836331245)
1123,FARM POINT AGROVET,Veterinary care,0.8102218,34.7275237,POINT (34.7275237 0.8102218),Bungoma,Kimilili Sub County,Maeni Ward,POINT (34.74813173407034 0.8031010483956622)
1124,MAILI SABA AGROVET,Veterinary care,1.0938801,35.0768824,POINT (35.0768824 1.0938801),TRANS NZOIA,Kwanza  Sub County,Kwanza Ward,POINT (35.032082446073666 1.1364255518573085)
1125,Kamanda Agrovet,Agrochemicals supplier,0.823745,35.05984,POINT (35.05984 0.823745),Kakamega,Likuyani Sub County,Nzoia Ward,POINT (35.07390845658178 0.8235304968373425)
1126,THE CROWN ROYALE AGROVET KIMININI,Agrochemicals supplier,0.8897561,34.926419,POINT (34.926419 0.8897561),TRANS NZOIA,Kiminini  Sub County,Kiminini Ward,POINT (34.939944520288535 0.8923167836331245)
1127,Greenbelt Agrovet,Veterinary pharmacy,0.830773,35.1211232,POINT (35.1211232 0.830773),Kakamega,Likuyani Sub County,Nzoia Ward,POINT (35.07390845658178 0.8235304968373425)
1128,Tehila Agrovet,General store,0.8409157,34.7154235,POINT (34.7154235 0.8409157),Bungoma,Mt Elgon Sub County,Elgon Ward,POINT (34.69544776059473 0.8378432317117409)
1129,JARIBU AGROVET,Veterinary care,0.7876525,35.0371437,POINT (35.0371437 0.7876525),Bungoma,Tongaren Sub County,Soysambu/ Mitua Ward,POINT (35.02752351850786 0.7809170184782139)
1130,Rift Farmers Agrovet,Agrochemicals supplier,0.8760018,35.1202517,POINT (35.1202517 0.8760018),Uasin Gishu,Soy Sub County,Moi's Bridge Ward,POINT (35.1668646430247 0.8910557301730416)
1131,Metkei - Gaa Agrovet,Animal feed store,0.5143893,35.2765443,POINT (35.2765443 0.5143893),Uasin Gishu,Moiben Sub County,Kimumu Ward,POINT (35.28827121759571 0.5504045369212042)
1132,Saltany agrovet services,Agricultural service,0.5142775,35.2697802,POINT (35.2697802 0.5142775),Uasin Gishu,Kapseret Sub County,Kipkenyo Ward,POINT (35.241663391216015 0.516542668763661)
1133,Tarakwa Agrovet Ltd.,Agrochemicals supplier,0.5174524,35.27446,POINT (35.27446 0.5174524),Uasin Gishu,Turbo Sub County,Huruma Ward,POINT (35.24920379117102 0.5266145661594062)
1134,Chepkeiyo Agrovet,Veterinary care,0.5156643,35.2752473,POINT (35.2752473 0.5156643),Uasin Gishu,Turbo Sub County,Huruma Ward,POINT (35.24920379117102 0.5266145661594062)
1135,Baitany Agrovet Ltd.,Veterinary care,0.5384602,35.2938933,POINT (35.2938933 0.5384602),Uasin Gishu,Moiben Sub County,Kimumu Ward,POINT (35.28827121759571 0.5504045369212042)
1136,Roadblock Agrovet,Farm equipment supplier,0.5489509,35.2454089,POINT (35.2454089 0.5489509),Uasin Gishu,Turbo Sub County,Kiplombe Ward,POINT (35.22981043416877 0.6252417660149396)
1137,Jom Agrovet,Agrochemicals supplier,0.465431,35.2510993,POINT (35.2510993 0.465431),Uasin Gishu,Kapseret Sub County,Langas Ward,POINT (35.25538876134117 0.476603780575538)
1138,Mwanzo Agrovet,Farm equipment supplier,0.5786987,35.2837112,POINT (35.2837112 0.5786987),Uasin Gishu,Turbo Sub County,Kiplombe Ward,POINT (35.22981043416877 0.6252417660149396)
1139,MOSOP ANIMAL FEEDS AND AGROVET,Animal feed store,0.3960972,35.3290046,POINT (35.3290046 0.3960972),Uasin Gishu,Kesses Sub County,Cheptiret/kipchamo Ward,POINT (35.36486456159063 0.3817283782927768)
1140,Moiben Connections Agrovet,Agrochemicals supplier,0.5150129,35.2748988,POINT (35.2748988 0.5150129),Uasin Gishu,Turbo Sub County,Huruma Ward,POINT (35.24920379117102 0.5266145661594062)
1141,Shamba Bora Agrovet,Veterinary care,0.5190619,35.2701945,POINT (35.2701945 0.5190619),Uasin Gishu,Turbo Sub County,Huruma Ward,POINT (35.24920379117102 0.5266145661594062)
1142,FARM-GATE AGROVET,Agrochemicals supplier,0.5142774,35.2697802,POINT (35.2697802 0.5142774),Uasin Gishu,Kapseret Sub County,Kipkenyo Ward,POINT (35.241663391216015 0.516542668763661)
1143,Royal Farm Agrovet,Agrochemicals supplier,0.5492942,35.2454923,POINT (35.2454923 0.5492942),Uasin Gishu,Turbo Sub County,Kiplombe Ward,POINT (35.22981043416877 0.6252417660149396)
1144,Shish Agrovet & Animal Feed Store,Animal feed store,0.5285912,35.3065355,POINT (35.3065355 0.5285912),Uasin Gishu,Ainabkoi Sub County,Kapsoya Ward,POINT (35.32595572267985 0.5100045688932555)
1145,Cheben Sons Agrovet,Pet supply store,0.5682632,35.2342459,POINT (35.2342459 0.5682632),Uasin Gishu,Turbo Sub County,Kapsaos Ward,POINT (35.22877586309458 0.5613160704800785)
1146,Janto's Smart Feeds and Agrovet,Hay supplier,0.5072491,35.2952508,POINT (35.2952508 0.5072491),Uasin Gishu,Ainabkoi Sub County,Kapsoya Ward,POINT (35.32595572267985 0.5100045688932555)
1147,Solai Agrovet (Koilel),Veterinary pharmacy,0.5536567,35.3129178,POINT (35.3129178 0.5536567),Uasin Gishu,Moiben Sub County,Kimumu Ward,POINT (35.28827121759571 0.5504045369212042)
1148,Ours Agrovet,Veterinary care,0.5911373,35.3083044,POINT (35.3083044 0.5911373),Uasin Gishu,Soy Sub County,Kuinet/kapsuswa Ward,POINT (35.29759994659046 0.6256274275067916)
1149,Testai Agrovet,Agricultural service,0.8769547,35.1199614,POINT (35.1199614 0.8769547),Uasin Gishu,Soy Sub County,Moi's Bridge Ward,POINT (35.1668646430247 0.8910557301730416)
1151,Neema Agrovet,Agricultural service,0.8785604,35.1200798,POINT (35.1200798 0.8785604),Uasin Gishu,Soy Sub County,Moi's Bridge Ward,POINT (35.1668646430247 0.8910557301730416)
1154,Lid - Ways Agrovet,Agricultural service,0.6339432,35.0498578,POINT (35.0498578 0.6339432),Uasin Gishu,Turbo Sub County,Tapsagoi Ward,POINT (35.071581691462654 0.5928352925610794)
1155,LOTONYOK AGROVET,Veterinary care,0.4626567,35.3876321,POINT (35.3876321 0.4626567),Uasin Gishu,Ainabkoi Sub County,Kaptagat Ward,POINT (35.42373515504146 0.4197548722574089)
1156,RIPTANY AGROVET,Veterinary care,0.5369674,35.557575,POINT (35.557575 0.5369674),ELGEYO-MARAKWET,Keiyo South Sub County,Soy North Ward,POINT (35.595483526401566 0.4672873878466647)
1157,Komosha Agrovet,Veterinary care,0.4212684,35.3153371,POINT (35.3153371 0.4212684),Uasin Gishu,Kapseret Sub County,Ngeria Ward,POINT (35.26009267580021 0.3930412025122584)
1158,Emkoin Agrovet & Vet,Veterinary care,0.5664726,35.2325147,POINT (35.2325147 0.5664726),Uasin Gishu,Turbo Sub County,Kapsaos Ward,POINT (35.22877586309458 0.5613160704800785)
1159,Kisot Store Agrovet,Agricultural service,0.5536974,35.3117374,POINT (35.3117374 0.5536974),Uasin Gishu,Moiben Sub County,Kimumu Ward,POINT (35.28827121759571 0.5504045369212042)
1160,VETLINE AGROVET,Agrochemicals supplier,0.4674838,35.2586694,POINT (35.2586694 0.4674838),Uasin Gishu,Kesses Sub County,Racecourse Ward,POINT (35.279054541260535 0.474700856765778)
1161,Enka Agrovet,Veterinary care,0.4742195,35.3011573,POINT (35.3011573 0.4742195),Uasin Gishu,Kesses Sub County,Cheptiret/kipchamo Ward,POINT (35.36486456159063 0.3817283782927768)
